category,is_page_list,url
pile_et_rechargeable,False,https://www.castorama.fr/electricite/pile-et-rechargeable/cat_id_1258.cat
lampe_torche_baladeuse_et_projecteur_de_chantier,False,https://www.castorama.fr/electricite/lampe-torche-baladeuse-et-projecteur-de-chantier/cat_id_1255.cat
transformateur_convertisseur_et_chargeur_usb,False,https://www.castorama.fr/electricite/transformateur-convertisseur-et-chargeur-usb/cat_id_1214.cat
outils_d_electricien,False,https://www.castorama.fr/electricite/outils-d-electricien/cat_id_1875.cat
groupe_electrogene,False,https://www.castorama.fr/outillage/groupe-electrogene/cat_id_1625.cat
energie_solaire,False,https://www.castorama.fr/energie-solaire/cat_id_0003313.cat
peinture_interieure,False,https://www.castorama.fr/peinture/peinture-interieure/cat_id_3622.cat
reparation_et_traitement_du_bois_interieur_et_exterieur,False,https://www.castorama.fr/reparation-et-traitement-du-bois-interieur-et-exterieur/cat_id_0004289.cat
peinture_professionnelle,False,https://www.castorama.fr/peinture/peinture-exterieure/peinture-professionnelle/cat_id_5456.cat
creez_votre_peinture_sur_mesure,False,https://www.castorama.fr/peinture/peinture-interieure/peinture-sur-mesure/cat_id_5207.cat
sous_couche_peinture,False,https://www.castorama.fr/peinture/peinture-interieure/preparation-des-murs-et-plafonds/sous-couche/cat_id_2171.cat
preparation_des_murs_et_plafonds,False,https://www.castorama.fr/peinture/peinture-interieure/preparation-des-murs-et-plafonds/cat_id_2141.cat
outils_du_peintre,False,https://www.castorama.fr/peinture/outils-du-peintre/cat_id_1996.cat
droguerie_entretien_de_la_maison,False,https://www.castorama.fr/droguerie-entretien-de-la-maison/cat_id_3955.cat
luminaire_et_eclairage_interieur,False,https://www.castorama.fr/luminaire-et-eclairage/luminaire-et-eclairage-interieur/cat_id_1340.cat
luminaire_et_eclairage_connectes,False,https://www.castorama.fr/luminaire-et-eclairage/luminaire-et-eclairage-connectes/cat_id_5994.cat
guirlande_lumineuse,False,https://www.castorama.fr/guirlande-lumineuse/cat_id_0002066.cat
projecteur_et_lampe_de_chantier,False,https://www.castorama.fr/electricite/lampe-torche-baladeuse-et-projecteur-de-chantier/projecteur-et-lampe-de-chantier/cat_id_5306.cat
decoration_textile,False,https://www.castorama.fr/decoration-interieure/decoration-textile/cat_id_912.cat
papier_peint_et_fibre_de_verre,False,https://www.castorama.fr/decoration-interieure/papier-peint-et-revetement-mural/cat_id_2024.cat
decoration_murale_et_accessoires_deco,False,https://www.castorama.fr/decoration-interieure/decoration-murale-et-accessoires-deco/cat_id_5303.cat
store_et_panneau_japonais,False,https://www.castorama.fr/decoration-interieure/store/cat_id_1086.cat
outillage_electroportatif,False,https://www.castorama.fr/outillage/outillage-electroportatif/cat_id_3554.cat
outillage_a_main,False,https://www.castorama.fr/outillage/outillage-a-main/cat_id_1728.cat
outils_de_mesure_et_de_tracage,False,https://www.castorama.fr/outillage/outillage-a-main/metre-niveau-et-outils-de-mesure-et-tracage/cat_id_4371.cat
machine_d_atelier,False,https://www.castorama.fr/outillage/machine-stationnaire-d-atelier/cat_id_1589.cat
etabli_et_rangement_des_outils,False,https://www.castorama.fr/outillage/etabli-diable-et-rangement-des-outils/cat_id_1408.cat
outillage_par_metier,False,https://www.castorama.fr/outillage/outillage-par-metier/cat_id_0001943.cat
soudure,False,https://www.castorama.fr/outillage/soudure/cat_id_1893.cat
manutention_et_transport,False,https://www.castorama.fr/outillage/manutention-et-transport/cat_id_0001944.cat
aspirateur_et_nettoyeur,False,https://www.castorama.fr/outillage/aspirateur-et-nettoyeur/cat_id_1585.cat
escabeau_marche_pied_echelle_et_echafaudage,False,https://www.castorama.fr/outillage/escabeau-marche-pied-echelle-et-echafaudage/cat_id_1595.cat
materiel_de_chantier,False,https://www.castorama.fr/outillage/materiel-de-chantier/cat_id_720.cat
